order_id,customer_id,customer_name,phone_number,country_code,order_date,order_status,total_amount
ORD1001,CUST501,Aarav Mehta,913321819600,IN,2026-05-15,Delivered,4577.71
ORD1002,CUST502,Wei Lin,1559407816,US,2026-05-19,Pending,6921.31
ORD1003,CUST503,Karan Shah,445341928327,GB,2026-06-10,Delivered,5539.99
ORD1004,CUST504,Olivia Brown,16724238849,US,2026-06-07,Delivered,7979.14
ORD1005,CUST505,Rohan Gupta,448480184514,GB,2026-05-30,Pending,7031.65
ORD1006,CUST506,Aarav Mehta,701543039,AE,2026-05-06,Pending,739.86
ORD1007,CUST507,Fatima Noor,6557871331,SG,2026-06-07,Delivered,1917.7
ORD1008,CUST508,John Carter,997376311,AE,2026-05-23,Delivered,6937.93
ORD1009,CUST509,James Wright,47317810,AE,2026-06-04,Delivered,7425.66
ORD1010,CUST510,Fatima Noor,8723430980,GB,2026-05-04,Delivered,4122.23
ORD1011,CUST511,Rohan Gupta,919091699854,IN,2026-06-15,Delivered,3287.13
ORD1012,CUST512,Olivia Brown,251354278,AE,2026-06-09,Pending,5409.33
ORD1013,CUST513,Rohan Gupta,15348740164,US,2026-05-22,Delivered,2243.25
ORD1014,CUST514,Karan Shah,2620450533,IN,2026-05-23,Delivered,3369.74
ORD1015,CUST515,Fatima Noor,6516073375,SG,15/05/2026,Delivered,1706.41
ORD1016,CUST516,Fatima Noor,971655698,AE,2026-06-06,Delivered,-5728.53
ORD1017,CUST517,Sara Khan,162994680,US,2026-05-14,Delivered,4931.96
ORD1018,CUST518,,12003791769,US,2026-06-14,Delivered,2103.08
ORD1019,CUST519,Sara Khan,1727889579,IN,2026-06-02,Delivered,4473.4
ORD1020,CUST520,Olivia Brown,15812236231,US,2026-05-22,Delivered,685.67
ORD1021,CUST521,Olivia Brown,447065627298,GB,2026-05-26,Delivered,411.4
ORD1022,CUST522,Mei Tan,1708053100,US,2026-05-13,Delivered,2060.65
ORD1023,CUST523,Aarav Mehta,966319314,AE,2026-06-08,Delivered,-4614.27
ORD1024,CUST524,Karan Shah,447262849877,GB,2026-06-07,Delivered,2114.86
ORD1025,CUST525,,9480831367,US,2026-05-16,Delivered,5752.37
ORD1026,CUST526,Karan Shah,14443135182,US,2026-05-31,Pending,7817.53
ORD1027,CUST527,Fatima Noor,658427109,SG,2026-05-31,Pending,7730.88
ORD1028,CUST528,Rohan Gupta,6513186999,SG,2026-06-03,Delivered,3653.22
ORD1029,CUST529,Mei Tan,9740344713,IN,2026-06-10,Delivered,7482.61
ORD1030,CUST530,James Wright,6488771906,IN,08/06/2026,Delivered,1985.61
ORD1031,CUST531,Fatima Noor,9671756551,GB,2026-05-22,Delivered,2448.1
ORD1032,CUST532,James Wright,385977034,AE,2026-05-19,Delivered,-3980.75
ORD1033,CUST533,Sara Khan,6773782639,US,2026-05-09,Delivered,6362.05
ORD1034,CUST534,James Wright,55886753,SG,2026-05-16,Delivered,6876.9
ORD1035,CUST535,Sara Khan,0262174596,IN,2026-05-22,Delivered,3164.07
ORD1036,CUST536,Fatima Noor,6505045562,SG,2026-05-27,Delivered,1604.44
ORD1037,CUST537,John Carter,9464743,AE,2026-05-31,Delivered,4661.0
ORD1038,CUST538,Fatima Noor,971210470952,AE,2026-05-19,Delivered,1569.99
ORD1039,CUST539,Mei Tan,6585160481,SG,2026-06-13,Pending,4759.57
ORD1040,CUST540,Wei Lin,74612004,SG,2026-05-08,Delivered,4392.86
ORD1041,CUST541,,3515850643,US,2026-05-30,Delivered,5205.29
ORD1042,CUST542,Olivia Brown,971352904228,AE,2026-05-12,Delivered,-401.09
ORD1043,CUST543,Sara Khan,7839084700,US,2026-05-26,Pending,4024.1
ORD1044,CUST544,Mei Tan,971183673,AE,2026-05-30,Delivered,941.67
ORD1045,CUST545,John Carter,9885165604,US,2026-05-23,Pending,1859.36
ORD1046,CUST546,Aarav Mehta,4550229612,US,2026-05-02,Delivered,1878.04
ORD1047,CUST547,Rohan Gupta,4381561497,GB,2026-05-20,Delivered,7878.68
ORD1048,CUST548,John Carter,6538851606,SG,2026-05-05,Pending,4672.52
ORD1049,CUST549,Mei Tan,913696816453,IN,2026-05-11,Delivered,1089.41
ORD1050,CUST550,Rohan Gupta,995527177,AE,18/05/2026,Pending,4157.23
ORD1051,CUST551,Rohan Gupta,5978207151,GB,2026-05-12,Pending,3614.51
ORD1052,CUST552,Wei Lin,16449251925,US,2026-06-11,Delivered,1205.82
ORD1053,CUST553,James Wright,2214188805,US,2026-06-09,Delivered,1403.17
ORD1054,CUST554,Fatima Noor,738347359,AE,2026-05-30,Pending,4122.67
ORD1055,CUST555,Sara Khan,13750606,GB,2026-05-16,Delivered,-3124.32
ORD1056,CUST556,Olivia Brown,18986143410,US,2026-06-10,Pending,1064.69
ORD1057,CUST557,Karan Shah,888806,AE,2026-05-03,Pending,3111.76
ORD1058,CUST558,Karan Shah,971277221704,AE,2026-05-13,Delivered,2618.59
ORD1059,CUST559,Wei Lin,16676527758,US,2026-05-06,Delivered,3558.74
ORD1060,CUST560,John Carter,445705964016,GB,2026-06-13,Pending,1313.68
ORD1061,CUST561,James Wright,6557192856,SG,2026-05-18,Delivered,402.12
ORD1062,CUST562,Olivia Brown,44727155188,GB,2026-05-20,Delivered,7433.13
ORD1063,CUST563,Karan Shah,971829114678,AE,27/05/2026,Delivered,7784.56
ORD1064,CUST564,John Carter,253584143,AE,2026-06-05,Pending,2562.03
ORD1065,CUST565,Fatima Noor,971969078447,AE,2026-06-13,Delivered,769.19
ORD1066,CUST566,Mei Tan,188153714,US,10/05/2026,Delivered,7574.0
ORD1067,CUST567,James Wright,470168733,AE,2026-05-04,Delivered,4860.65
ORD1068,CUST568,Aarav Mehta,9835841687,US,2026-05-18,Delivered,1126.73
ORD1069,CUST569,Karan Shah,6587298259,SG,2026-05-26,Delivered,2534.03
ORD1070,CUST570,,919930972896,IN,13/06/2026,Delivered,7596.0
ORD1071,CUST571,John Carter,8578652785,IN,2026-06-13,Delivered,6468.49
ORD1072,CUST572,Karan Shah,444419866524,GB,2026-06-15,Delivered,3650.53
ORD1073,CUST573,Aarav Mehta,65712082,SG,2026-05-31,Pending,6096.11
ORD1074,CUST574,John Carter,440672400499,GB,2026-05-22,Pending,5202.24
ORD1075,CUST575,Olivia Brown,971668516122,AE,2026-05-16,Delivered,2037.07
ORD1076,CUST576,Wei Lin,14593327279,US,2026-06-14,Delivered,6107.33
ORD1077,CUST577,Sara Khan,8713971,AE,2026-05-29,Delivered,4203.33
ORD1078,CUST578,Sara Khan,911704622656,IN,25/05/2026,Delivered,7720.33
ORD1079,CUST579,Fatima Noor,918686337524,IN,2026-05-08,Pending,3470.08
ORD1080,CUST580,Olivia Brown,6738302843,IN,2026-06-06,Delivered,6225.8
ORD1081,CUST581,Mei Tan,5662462873,US,2026-05-20,Delivered,3811.6
ORD1082,CUST582,Mei Tan,19013983735,US,2026-05-01,Delivered,7704.2
ORD1083,CUST583,James Wright,5445877175,GB,2026-05-24,Delivered,4587.69
ORD1084,CUST584,James Wright,7725228728,US,04/05/2026,Delivered,6804.24
ORD1085,CUST585,James Wright,008860084,AE,2026-05-19,Pending,5643.3
ORD1086,CUST586,Mei Tan,179334101,US,2026-05-25,Delivered,5166.63
ORD1087,CUST587,Aarav Mehta,4890250392,US,2026-06-15,Delivered,2534.36
ORD1088,CUST588,Rohan Gupta,650477358,AE,2026-05-28,Delivered,5353.24
ORD1089,CUST589,,1267888610,US,2026-06-05,Delivered,6318.62
ORD1090,CUST590,Fatima Noor,6572126464,SG,2026-05-05,Pending,2123.4
ORD1091,CUST591,James Wright,9245937526,US,2026-05-19,Delivered,4029.86
ORD1092,CUST592,Olivia Brown,4167243426,GB,2026-05-05,Delivered,3938.03
ORD1093,CUST593,Aarav Mehta,656101438,AE,2026-06-05,Delivered,1924.05
